Company Owner,Allocation Date,Segment,Firmable ID,Company,Website,Priority,ICP Score,Industry Tier,Sub-segment,Velocity,Coverage Motion,ANZ Signal,SEA Presence,In SG,In MY,In ID,In PH,HQ,Account Type,Org Size,B2B Type,Industry,APAC Sales HC,AU Sales,NZ Emp,SG Sales,MY Sales,ID Sales,PH Sales,HK Sales,JP Sales
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000000579234,Arcserve,arcserve.com,P1 - Strategic,High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA + HK/JP,ANZ,Yes,Yes,Yes,,,US,Non-SEA HQ (APAC presence),11-50 employees,b2b,"Computer software, Hosting and cloud infrastructure",13,1,1,2,1,—,—,2,7
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000001521720,Arctic Wolf,arcticwolf.com,P1 - Strategic,High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA + HK/JP,ANZ,Yes,Yes,,,,US,Non-SEA HQ (APAC presence),51-200 employees,b2bvsb2c-no-data,"Cybersecurity, Security and investigation services",18,15,1,1,—,—,—,—,2
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000000581001,Asana,asana.com,P1 - Strategic,Very High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA + HK/JP,ANZ,Yes,Yes,,,Yes,US,Non-SEA HQ (APAC presence),51-200 employees,b2b,"Computer software, IT consulting and support services",39,17,—,6,—,—,4,—,12
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000000584743,Aspen Technology,aspentech.com,P1 - Strategic,Very High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA + HK/JP,ANZ,Yes,Yes,Yes,Yes,,US,Non-SEA HQ (APAC presence),51-200 employees,b2bvsb2c-no-data,"Computer software, Data analytics or artificial intelligence",32,4,—,20,2,1,—,—,5
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000000627526,Automation Anywhere,automationanywhere.com,P1 - Strategic,High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA + HK/JP,ANZ,Yes,Yes,,,,US,Non-SEA HQ (APAC presence),51-200 employees,b2b,"Computer software, Data analytics or artificial intelligence",16,3,1,5,—,—,—,—,8
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000001681198,Axway,axway.com,P1 - Strategic,High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA + HK/JP,ANZ,Yes,Yes,,Yes,,US,Non-SEA HQ (APAC presence),11-50 employees,b2b,"Computer software, Hosting and cloud infrastructure",12,3,—,5,—,1,—,3,—
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000004005645,"BMC Software, Inc.",bmchelix.com,P1 - Strategic,High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA + HK/JP,ANZ,Yes,Yes,,,,US,Non-SEA HQ (APAC presence),11-50 employees,b2b,"Computer software, IT consulting and support services",10,3,2,7,—,—,—,—,—
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000001673230,Barracuda,barracuda.com,P1 - Strategic,High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA + HK/JP,ANZ,Yes,Yes,Yes,,,US,Non-SEA HQ (APAC presence),51-200 employees,b2b,"Cybersecurity, Computer software",22,4,—,2,2,—,—,13,1
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000001492025,Belden Inc.,belden.com,P1 - Strategic,Very High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA + HK/JP,ANZ,Yes,Yes,Yes,Yes,Yes,US,Non-SEA HQ (APAC presence),51-200 employees,b2b,"High-tech manufacturing, Cybersecurity",38,8,—,10,5,7,1,7,—
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000000749289,Birdeye,getbirdeye.com.au,P1 - Strategic,Very High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA,ANZ,Yes,,,Yes,Yes,US,Non-SEA HQ (APAC presence),51-200 employees,b2b,"Computer software, Marketing and advertising services",63,49,—,—,—,1,13,—,—
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000000619878,Black Box,blackbox.com,P1 - Strategic,High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA + HK/JP,ANZ,Yes,Yes,,Yes,Yes,US,Non-SEA HQ (APAC presence),51-200 employees,b2b,"Cybersecurity, IT consulting and support services",17,8,18,4,—,1,2,—,2
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000001439728,BlackLine,blackline.com,P1 - Strategic,Very High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA + HK/JP,ANZ,Yes,Yes,,,Yes,US,Non-SEA HQ (APAC presence),51-200 employees,b2b,"Computer software, Financial technology (fintech)",36,13,—,6,—,—,2,—,15
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000001365661,Blue Yonder,blueyonder.com,P1 - Strategic,Very High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA + HK/JP,ANZ,Yes,Yes,,Yes,,US,Non-SEA HQ (APAC presence),51-200 employees,b2b,"Computer software, IT consulting and support services",29,12,1,7,—,1,—,—,9
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000001478793,Boomi,boomi.com,P1 - Strategic,Very High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA + HK/JP,ANZ,Yes,Yes,,,,US,Non-SEA HQ (APAC presence),51-200 employees,b2b,"Computer software, Hosting and cloud infrastructure",58,40,1,14,—,—,—,1,3
Vanessa,10-Apr,SaaS SEA P1 ANZ Mid,f000001535801,Box,box.com,P1 - Strategic,Very High,Tier A,SaaS / Software,Mid (200–1000 emp),ANZ + SEA + HK/JP,ANZ,Yes,,,Yes,Yes,US,Non-SEA HQ (APAC presence),201-500 employees,b2b,"Computer software, Hosting and cloud infrastructure",95,5,1,—,—,2,1,—,87
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000001831757,Braze,braze.com,P1 - Strategic,Very High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA + HK/JP,ANZ,Yes,Yes,,Yes,,US,Non-SEA HQ (APAC presence),51-200 employees,b2b,"Computer software, Data analytics or artificial intelligence",39,17,1,17,—,1,—,—,4
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000001401219,CDW,cdw.com,P1 - Strategic,High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA + HK/JP,ANZ,Yes,Yes,,Yes,,US,Non-SEA HQ (APAC presence),11-50 employees,b2b,"Cybersecurity, IT consulting and support services",14,7,—,2,—,5,—,—,—
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000001568387,CSC,cscglobal.com,P1 - Strategic,High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA + HK/JP,ANZ,Yes,Yes,,,,US,Non-SEA HQ (APAC presence),51-200 employees,b2b,"Cybersecurity, Business support services",14,4,3,6,—,—,—,4,—
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000000720035,Carta,carta.com,P1 - Strategic,High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA,ANZ,Yes,Yes,,,,US,Non-SEA HQ (APAC presence),51-200 employees,b2b,"Computer software, Financial technology (fintech)",14,3,—,11,—,—,—,—,—
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000001481141,Celigo,celigo.com,P1 - Strategic,High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA,ANZ,Yes,,,,Yes,US,Non-SEA HQ (APAC presence),51-200 employees,b2b,"Computer software, Hosting and cloud infrastructure",11,3,—,—,—,—,8,—,—
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000001555323,China Unicom,chinaunicom.com.cn,P1 - Strategic,High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA + HK/JP,ANZ,Yes,Yes,,Yes,,US,Non-SEA HQ (APAC presence),51-200 employees,b2bvsb2c-no-data,"Internet services and web portals, Telecommunications services",15,—,3,5,—,1,—,8,1
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000001309997,Cisco Meraki,meraki.cisco.com,P1 - Strategic,High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA + HK/JP,ANZ,Yes,Yes,Yes,Yes,,US,Non-SEA HQ (APAC presence),51-200 employees,b2b,"Cybersecurity, Hosting and cloud infrastructure",20,10,3,2,2,2,—,1,3
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000001603848,Citrix,citrix.com,P1 - Strategic,Very High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA + HK/JP,ANZ,Yes,Yes,,Yes,,US,Non-SEA HQ (APAC presence),51-200 employees,b2b,"Cybersecurity, Computer software",31,9,2,11,—,2,—,3,6
Vanessa,10-Apr,SaaS SEA P1 ANZ Mid,f000001439368,ClickUp,clickup.com,P1 - Strategic,High,Tier A,SaaS / Software,Mid (200–1000 emp),ANZ + SEA + HK/JP,ANZ,Yes,,,,Yes,US,Non-SEA HQ (APAC presence),201-500 employees,b2b,"Computer software, Business support services",20,14,—,—,—,—,6,—,—
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000001604072,Cloudbeds,cloudbeds.com,P1 - Strategic,High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA,ANZ,Yes,,,Yes,Yes,US,Non-SEA HQ (APAC presence),51-200 employees,b2b,"Accommodation and lodging, Computer software",13,1,—,—,—,3,9,—,—
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000000740329,Cloudera,cloudera.com,P1 - Strategic,Very High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA + HK/JP,ANZ,Yes,Yes,,Yes,,US,Non-SEA HQ (APAC presence),51-200 employees,b2b,"Data analytics or artificial intelligence, Hosting and cloud infrastructure",28,7,—,14,—,3,—,2,2
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000001440652,Cohesity,cohesity.com,P1 - Strategic,Very High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA + HK/JP,ANZ,Yes,Yes,Yes,Yes,Yes,US,Non-SEA HQ (APAC presence),51-200 employees,b2b,"Cybersecurity, Computer software",43,11,—,12,1,3,1,5,10
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000001448986,Commvault,commvault.com,P1 - Strategic,Very High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA + HK/JP,ANZ,Yes,Yes,Yes,Yes,,US,Non-SEA HQ (APAC presence),51-200 employees,b2b,"Cybersecurity, Hosting and cloud infrastructure",37,22,5,7,4,1,—,1,2
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000001468275,Confluent,confluent.io,P1 - Strategic,Very High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA + HK/JP,ANZ,Yes,Yes,Yes,Yes,Yes,US,Non-SEA HQ (APAC presence),51-200 employees,b2b,"Computer software, Data analytics or artificial intelligence",37,10,—,15,1,5,2,1,3
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000000695978,Conga,conga.com,P1 - Strategic,High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA,ANZ,Yes,,,,Yes,US,Non-SEA HQ (APAC presence),11-50 employees,b2b,"Computer software, IT consulting and support services",15,8,—,—,—,—,7,—,—
Vanessa,10-Apr,SaaS SEA P1 ANZ Mid,f000001946898,ConnectWise,connectwise.com,P1 - Strategic,Very High,Tier A,SaaS / Software,Mid (200–1000 emp),ANZ + SEA,ANZ,Yes,,,,Yes,US,Non-SEA HQ (APAC presence),201-500 employees,b2b,"Computer software, IT consulting and support services",124,18,1,—,—,—,106,—,—
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000000630856,Convene,azeusconvene.com,P1 - Strategic,High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA + HK/JP,ANZ,Yes,Yes,Yes,Yes,Yes,US,Non-SEA HQ (APAC presence),51-200 employees,b2b,"Computer software, Business support services",18,3,—,3,5,3,3,1,—
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000001951949,Convergint,convergint.com,P1 - Strategic,High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA + HK/JP,ANZ,Yes,,,Yes,,US,Non-SEA HQ (APAC presence),51-200 employees,b2b,"Cybersecurity, Security and investigation services",15,10,2,—,—,4,—,1,—
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000000707593,Cornerstone OnDemand,cornerstoneondemand.com,P1 - Strategic,Very High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA + HK/JP,ANZ,Yes,Yes,,Yes,Yes,US,Non-SEA HQ (APAC presence),51-200 employees,b2bvsb2c-no-data,"Computer software, Human resources services",38,13,28,6,—,1,4,5,9
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000001449393,Couchbase,couchbase.com,P1 - Strategic,High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA + HK/JP,ANZ,Yes,Yes,,,Yes,US,Non-SEA HQ (APAC presence),11-50 employees,b2b,"Computer software, Hosting and cloud infrastructure",17,3,—,10,—,—,2,1,1
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000001373463,Coupa Software,coupa.com,P1 - Strategic,Very High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA + HK/JP,ANZ,Yes,Yes,,Yes,,US,Non-SEA HQ (APAC presence),51-200 employees,b2b,"Computer software, Business support services",28,11,1,8,—,1,—,—,8
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000000720464,Cox Automotive,coxautoinc.com.au,P1 - Strategic,High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA,ANZ,Yes,,,Yes,,US,Non-SEA HQ (APAC presence),51-200 employees,b2b,"Computer software, Automotive manufacturing",17,14,1,—,—,3,—,—,—
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000001678104,Crestron Electronics,crestron.com,P1 - Strategic,High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA + HK/JP,ANZ,Yes,Yes,Yes,Yes,Yes,US,Non-SEA HQ (APAC presence),51-200 employees,b2bc,"Electrical and electronic equipment manufacturing, Computer software",24,9,2,5,1,4,1,3,1
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000001318632,Cvent,cvent.com,P1 - Strategic,Very High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA + HK/JP,ANZ,Yes,Yes,,Yes,,US,Non-SEA HQ (APAC presence),51-200 employees,b2b,"Event services, Computer software",28,16,—,11,—,1,—,—,—
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000000737986,D-Link USA,dlink.com,P1 - Strategic,High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA + HK/JP,ANZ,Yes,Yes,Yes,,,US,Non-SEA HQ (APAC presence),51-200 employees,b2bc,"Cybersecurity, Internet services and web portals",11,9,1,1,1,—,—,—,—
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000001678534,Datasite,datasite.com,P1 - Strategic,High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA + HK/JP,ANZ,Yes,Yes,,,,US,Non-SEA HQ (APAC presence),11-50 employees,b2b,"Computer software, Financial technology (fintech)",19,3,1,8,—,—,—,2,6
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000000699187,Datto,datto.com,P1 - Strategic,High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA,ANZ,Yes,,,Yes,Yes,US,Non-SEA HQ (APAC presence),11-50 employees,b2b,"Hosting and cloud infrastructure, IT consulting and support services",11,9,1,—,—,1,1,—,—
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000001704171,Delinea,delinea.com,P1 - Strategic,High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA + HK/JP,ANZ,Yes,Yes,,Yes,,US,Non-SEA HQ (APAC presence),51-200 employees,b2b,"Cybersecurity, IT consulting and support services",13,8,1,3,—,1,—,1,—
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000001511486,Denodo,denodo.com,P1 - Strategic,High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA + HK/JP,ANZ,Yes,Yes,,,,US,Non-SEA HQ (APAC presence),51-200 employees,b2b,"Computer software, Data analytics or artificial intelligence",20,5,—,5,—,—,—,1,9
Vanessa,10-Apr,SaaS SEA P1 ANZ Mid,f000001590874,Dialpad,dialpad.com,P1 - Strategic,Very High,Tier A,SaaS / Software,Mid (200–1000 emp),ANZ + SEA + HK/JP,ANZ,Yes,,,Yes,Yes,US,Non-SEA HQ (APAC presence),201-500 employees,b2bc,"Computer software, Telecommunications services",35,7,2,—,—,1,23,—,4
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000001505702,DigiCert,digicert.com,P1 - Strategic,High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA + HK/JP,ANZ,Yes,Yes,,,,US,Non-SEA HQ (APAC presence),51-200 employees,b2b,"Cybersecurity, Computer software",24,14,2,2,—,—,—,—,8
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000001433583,Diligent,diligent.com,P1 - Strategic,Very High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA + HK/JP,ANZ,Yes,Yes,,,,US,Non-SEA HQ (APAC presence),51-200 employees,b2b,"Computer software, Business support services",33,24,15,9,—,—,—,—,—
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast Local,f000001505907,Docotel Group,docotel.com,P1 - Strategic,High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA,ANZ,Yes,Yes,,Yes,Yes,ID,SEA HQ,51-200 employees,b2b,"Computer software, IT consulting and support services",0,—,1,1,—,6,1,—,—
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000000389140,Domo,domo.com,P1 - Strategic,Very High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA + HK/JP,ANZ,Yes,Yes,,,Yes,US,Non-SEA HQ (APAC presence),51-200 employees,b2b,"Computer software, Data analytics or artificial intelligence",31,13,1,3,—,—,1,—,14
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000001741854,Donnelley Financial Solutions (DFIN),dfinsolutions.com,P1 - Strategic,High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA + HK/JP,ANZ,Yes,Yes,,,,US,Non-SEA HQ (APAC presence),51-200 employees,b2b,"Computer software, Financial technology (fintech)",18,3,—,4,—,—,—,10,1
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000000068499,EBSCO Information Services,ebsco.com,P1 - Strategic,Very High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA + HK/JP,ANZ,Yes,Yes,Yes,Yes,,US,Non-SEA HQ (APAC presence),51-200 employees,b2b,"Internet services and web portals, Publishing",31,21,6,4,1,2,—,1,2
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000000748720,EDB,enterprisedb.com,P1 - Strategic,High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA + HK/JP,ANZ,Yes,Yes,,Yes,,US,Non-SEA HQ (APAC presence),51-200 employees,b2b,"Computer software, Hosting and cloud infrastructure",20,4,—,7,—,1,—,2,6
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast Local,f000001529525,ETP Group,etpgroup.com,P1 - Strategic,High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA,ANZ,Yes,Yes,Yes,Yes,Yes,SG,SEA HQ,11-50 employees,b2b,"Computer software, Data analytics or artificial intelligence",0,—,1,1,2,6,5,—,—
Vanessa,10-Apr,SaaS SEA P1 ANZ Mid,f000002049236,Eastern Communications,easterncommunications.com.ph,P1 - Strategic,Very High,Tier A,SaaS / Software,Mid (200–1000 emp),ANZ + SEA,ANZ,Yes,,,,Yes,PH,SEA HQ,201-500 employees,b2bvsb2c-no-data,"Cybersecurity, Telecommunications services",0,1,—,—,—,—,84,—,—
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000000414175,Enfusion,enfusion.com,P1 - Strategic,High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA + HK/JP,ANZ,Yes,Yes,,,,US,Non-SEA HQ (APAC presence),51-200 employees,b2b,"Financial technology (fintech), Hosting and cloud infrastructure",19,2,—,2,—,—,—,15,—
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000001390049,Entrust,entrust.com,P1 - Strategic,Very High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA + HK/JP,ANZ,Yes,Yes,Yes,Yes,Yes,US,Non-SEA HQ (APAC presence),51-200 employees,b2b,"Cybersecurity, Computer software",31,4,5,6,1,4,2,6,8
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000001459001,Episode Six,episodesix.com,P1 - Strategic,High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA + HK/JP,ANZ,Yes,Yes,,,,US,Non-SEA HQ (APAC presence),11-50 employees,b2b,"Computer software, Financial technology (fintech)",11,4,1,2,—,—,—,1,4
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000001459397,Exabeam,exabeam.com,P1 - Strategic,High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA + HK/JP,ANZ,Yes,Yes,Yes,Yes,,US,Non-SEA HQ (APAC presence),51-200 employees,b2b,"Cybersecurity, Data analytics or artificial intelligence",12,4,—,2,1,1,—,—,4
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000001616223,ExtraHop,extrahop.com,P1 - Strategic,High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA,ANZ,Yes,Yes,,Yes,,US,Non-SEA HQ (APAC presence),11-50 employees,b2b,"Cybersecurity, IT consulting and support services",14,5,—,7,—,2,—,—,—
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000000812628,Extreme Networks,extremenetworks.com,P1 - Strategic,Very High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA + HK/JP,ANZ,Yes,Yes,,Yes,Yes,US,Non-SEA HQ (APAC presence),51-200 employees,b2bvsb2c-no-data,"Computer software, IT consulting and support services",42,9,1,17,—,2,2,3,9
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000001545621,Fastly,fastly.com,P1 - Strategic,High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA + HK/JP,ANZ,Yes,Yes,,,Yes,US,Non-SEA HQ (APAC presence),51-200 employees,b2b,"Computer software, Hosting and cloud infrastructure",17,8,—,3,—,—,1,—,5
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000001738482,Figma,figma.com,P1 - Strategic,Very High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA + HK/JP,ANZ,Yes,Yes,Yes,,Yes,US,Non-SEA HQ (APAC presence),51-200 employees,b2bc,"Computer software, Design services (creative and digital)",50,10,2,19,2,—,1,1,17
